SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,ITAÚ RENT ADM. E PARTICIPAÇÕES S.A.,SÃO PAULO,02.180.133/0001-12,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,EDITORA ABRIL S/A,SÃO PAULO,02.183.757/0001-93,Comunicação e Informática,PRIVADO,SP
CANCELADA,CEVAL PARTICIPAÇOES SA,GASPAR,02.189.227/0001-52,Outras Atividades Industriais,PRIVADO,SC
CANCELADA,CENTRO SECULO XXI SA,CURITIBA,02.191.115/0001-36,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,PR
ATIVO,DEXXOS PARTICIPAÇÕES S.A.,RIO DE JANEIRO,02.193.750/0001-52,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,RJ
CANCELADA,CIA AGRO INDL DE GOIAS CAGIGO,BELO HORIZONTE,02.194.017/0001-52,Alimentos,PRIVADO,MG
CANCELADA,CIA ENERGETICA MERIDIONAL,FLORIANÓPOLIS,02.201.268/0001-17,Energia Elétrica,PRIVADO,SC
ATIVO,CEL PARTICIPAÇÕES S.A. - CELPAR,RIO DE JANEIRO,02.201.787/0001-85,Emp. Adm. Part. - Educação,PRIVADO,RJ
CANCELADA,DOCASNET SA,RIO DE JANEIRO,02.207.388/0001-21,Emp. Adm. Participações,PRIVADO HOLDING,RJ
ATIVO,YBYRA CAPITAL S.A,SÃO PAULO,02.217.319/0001-07,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,LIGA FUTEBOL SA,RIO DE JANEIRO,02.217.325/0001-56,Emp. Adm. Part. - Sem Setor Principal,PRIVADO HOLDING,RJ
CANCELADA,S.F.S.P.V. EMPRS E PARTS SA,SÃO PAULO,02.220.855/0001-53,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,RDN CONCESSÕES E PARTICIPAÇÕES S.A.,PONTA GROSSA,02.221.531/0001-30,Serviços Transporte e Logística,PRIVADO,PR
CANCELADA,EMPR. CONCESS. DE RODOVIAS DO NORTE S.A. - ECONORTE,LONDRINA,02.222.736/0001-30,Serviços Transporte e Logística,PRIVADO,PR
